,spp,redlistCategory,LatinName,Family1,Order1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
164,Green Imperial-Pigeon,Near Threatened,Ducula aenea,Columbidae,Columbiformes,30.4,16.3,8.1,6.9,30.2,240,74.6,165.4,31.1,143.2,545,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-10.32,28.15,12.16,102.13,5136924.07
165,Grey-capped Woodpecker,Least Concern,Picoides canicapillus,Picidae,Piciformes,16.8,13.7,5.1,5.1,14.2,83.3,23.6,60,28.3,42.3,25.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,52.8,27.99,112.03,8010257.64
166,Grey-cheeked Bulbul,Vulnerable,Alophoixus tephrogenys,Pycnonotidae,Passeriformes,22.7,14.9,5.8,7.3,20,104.6,20.3,84.3,19.4,80.8,35.3,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-5.17,12.49,1.26,110.77,874154.43
167,Grey-chested Jungle-Flycatcher,Near Threatened,Cyornis umbratilis,Muscicapidae,Passeriformes,17.1,11.8,5.7,4.4,16,76.2,15.4,60.9,20.2,61.4,18.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.17,7.1,0.75,108.44,1143162.84
168,Horsfield's Babbler,Least Concern,Malacocincla sepiaria,Pellorneidae,Passeriformes,18.4,10.7,4.1,5.6,26.6,73.2,6.2,67.1,8.4,39.4,25.5,NA,Forest,1,1,Carnivore,Invertivore,Generalist,-8.78,7.04,0.22,111.03,969773.94
169,Javan Myna,Vulnerable,Acridotheres javanicus,Sturnidae,Passeriformes,25.9,14.7,5.9,7.2,35.9,122.6,26.1,96.5,21.3,70.5,93.5,NA,Grassland,3,1,Omnivore,Invertivore,Generalist,-8.85,-5.88,-7.35,110.16,130826.23
170,Large Green-Pigeon,Vulnerable,Treron capellei,Columbidae,Columbiformes,31.4,18,8.6,10.3,23.1,193.8,64.8,128.4,33.5,112.4,401.3,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-5.95,12.39,0.73,107.82,1127623.03
171,Large Woodshrike,Least Concern,Tephrodornis virgatus,Vangidae,Passeriformes,26.2,16.6,7,7.1,16.8,101,21.4,77.4,21.6,64.3,37.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,29.56,14.42,103.63,4664545.5
172,Lesser Cuckoo-Shrike,Least Concern,Lalage fimbriata,Campephagidae,Passeriformes,19.1,10.6,6.3,5.2,19.3,95.9,24.3,71.6,25.3,67.1,29.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.85,11.65,0.54,108.19,1316199.59
173,Lesser Fish-Eagle,Near Threatened,Icthyophaga humilis,Accipitridae,Accipitriformes,49.5,27.1,13.6,18.6,63,353.2,116.3,234.4,33.1,182.8,782,NA,Wetland,3,1,Carnivore,Aquatic predator,Insessorial,-6.5,31.96,9.46,104.74,2763882.32
174,Little Bronze-Cuckoo,Least Concern,Chalcites minutillus,Cuculidae,Cuculiformes,18.8,12.2,5.1,4.7,14.7,93.2,35.4,58.5,37.7,59.6,18.6,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-31.45,11.31,-9.9,133.84,2896885.75
175,Little Green-Pigeon,Least Concern,Treron olax,Columbidae,Columbiformes,17.9,9.9,4.1,4.7,17.1,118.8,40.7,79.1,34,64.4,77,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-7.48,10.05,0.88,108.41,1359140.89
176,Magpie Robin,Least Concern,Copsychus saularis,Muscicapidae,Passeriformes,23.2,15,5.4,5.8,29.5,97.5,18.7,79.2,19.1,84,36,NA,Woodland,1,1,Carnivore,Invertivore,Terrestrial,-8.85,33.84,19.34,97.13,9009660.2
177,Malaysian Blue-Flycatcher,Near Threatened,Cyornis turcosus,Muscicapidae,Passeriformes,14.7,9.7,5,3.9,18.2,75.3,13.2,62,17.7,54.8,16.2,Cyornis tickelliae,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,7.04,0.98,112.09,836932.58
