,spp,redlistCategory,LatinName,Family1,Order1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
1,Arctic Warbler,Least Concern,Phylloscopus borealis,Phylloscopidae,Passeriformes,13.5,8.8,3.1,3.1,17.9,66.2,17,48.9,25.8,47,10.9,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,42.93,72.08,61.57,94.32,13315320.46
2,Ashy Tailorbird,Least Concern,Orthotomus ruficeps,Cisticolidae,Passeriformes,15.7,10.6,2.9,2.5,19.4,47.5,5.7,42.1,12,41.1,7,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-7.99,17.73,1.15,107.77,887360.64
3,Asian Brown Flycatcher,Least Concern,Muscicapa dauurica,Muscicapidae,Passeriformes,13.1,8,4.6,3.5,13.7,68.2,20.3,48.9,29.4,46.8,9.8,NA,Woodland,1,3,Carnivore,Invertivore,Insessorial,-5.7,63.53,48.12,113.45,6794474.03
4,Asian Fairy-Bluebird,Least Concern,Irena puella,Irenidae,Passeriformes,26.3,17.5,7.9,9.1,17.8,125.4,31.5,92.9,25.3,91.8,64.9,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.78,28.23,11.14,102.08,3709810.22
5,Asian Glossy Starling,Least Concern,Aplonis panayensis,Sturnidae,Passeriformes,22.2,13,5.2,6.3,21.8,95.5,33.2,62,34.9,59.4,56.2,NA,Shrubland,1,1,Herbivore,Frugivore,Insessorial,-8.85,24.53,3.77,109.47,2145170.85
6,Banded Bay Cuckoo,Least Concern,Cacomantis sonneratii,Cuculidae,Cuculiformes,23.7,15.2,6.4,5.4,15.3,107.4,34.5,69.3,33.3,95.8,33.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,33.08,13.43,96.57,4946192.25
7,Banded Broadbill,Near Threatened,Eurylaimus javanicus,Eurylaimidae,Passeriformes,29.5,19.7,17.2,11.9,26.8,101,19.1,81.9,18.9,56,78.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,-5.87,-7.3,109.93,126074.83
8,Banded Kingfisher,Least Concern,Lacedo pulchella,Alcedinidae,Coraciiformes,42.5,31.2,13.1,11.9,12,82,18.4,64.4,22.2,59.8,47.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,21.86,9.68,102.25,1429865.78
9,Banded Woodpecker,Least Concern,Chrysophlegma miniaceum,Picidae,Piciformes,29.9,20.4,8.5,8.4,22.7,121.2,22,100,18,71.4,97.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.82,13.49,1.34,108.88,1291605.29
10,Bar-winged Flycatcher-Shrike,Least Concern,Hemipus picatus,Vangidae,Passeriformes,12.2,8.4,4.3,3.7,11.2,60.7,9.4,52,15.3,55.5,9,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-5.95,30.92,16.08,97.88,4959601.62
11,Barred Eagle-Owl,Near Threatened,Bubo sumatranus,Strigidae,Strigiformes,48.6,26.5,15,23.4,41.3,331.8,84.8,249.2,25.4,165.6,1525,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-8.85,13.43,0.29,108.45,1415096.11
12,Black-and-red Broadbill,Least Concern,Cymbirhynchus macrorhynchos,Eurylaimidae,Passeriformes,26.2,15.7,13.6,12.6,24.8,101.4,21.6,81.7,21,83.4,59.4,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-5.95,17.21,2.77,107.53,1624283.49
13,Black-and-yellow Broadbill,Near Threatened,Eurylaimus ochromalus,Eurylaimidae,Passeriformes,20.4,13.7,12.3,8,20.5,78.8,18.3,61,22.9,47.8,33.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.17,15.76,1.57,109.44,1128803.82
14,Black-capped Babbler,Least Concern,Pellorneum capistratum,Pellorneidae,Passeriformes,18.1,9.9,2.9,4,26.9,70,4.8,62.9,7,56,25.1,Pellorneum nigrocapitatum,Forest,1,1,Carnivore,Invertivore,Terrestrial,-8.78,-5.91,-7.31,109.95,121654.55
15,Black-headed Munia,Least Concern,Lonchura malacca,Estrildidae,Passeriformes,12.2,8.3,7,8.1,17.1,54.7,13.6,42,24.4,37.8,12.6,NA,Wetland,3,1,Herbivore,Granivore,Insessorial,5.92,24.56,17.61,79.15,573511.14
16,Black-naped Monarch,Least Concern,Hypothymis azurea,Monarchidae,Passeriformes,11.8,8.5,4.6,3.7,15.8,69.8,11.1,58.6,16,75.2,11.1,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-9.11,31,16.05,98.4,7041185.04
17,Black-throated Babbler,Near Threatened,Stachyris nigricollis,Timaliidae,Passeriformes,19.9,12.6,4,5.6,23,71.8,8.9,62.6,12.4,54.4,26.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.21,9.84,2.95,104.77,170687.25
18,Black-winged Flycatcher-Shrike,Least Concern,Hemipus hirundinaceus,Vangidae,Passeriformes,14.7,11.2,5,4.9,12.6,63.1,9.5,53.6,15.1,49.2,10.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.85,11.92,0.5,108.23,1391676.2
19,Black Magpie,Least Concern,Platysmurus leucopterus,Corvidae,Passeriformes,35.8,26.2,12.3,17.2,36.9,186,24.5,159.5,13.3,179,180,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-6.08,14.09,1.93,101.28,624071.23
20,Blue-eared Kingfisher,Least Concern,Alcedo meninting,Alcedinidae,Coraciiformes,41.9,34,5.2,7.2,8.7,65,15.9,47.3,25.2,28.5,20.4,NA,Riverine,2,1,Carnivore,Aquatic predator,Insessorial,-8.96,28.42,10.45,101.99,3655192.84
21,Blue-rumped Parrot,Near Threatened,Psittinus cyanurus,Psittacidae,Psittaciformes,20.7,20.2,12.9,19.8,13.5,121.2,55.1,59.4,48.1,50,60.5,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,-5.95,10.94,1.09,108.22,1398599.34
22,Blue-throated Bee-eater,Least Concern,Merops viridis,Meropidae,Coraciiformes,35.1,29.1,7.3,7.5,9.7,111.6,22.1,89.5,19.8,75.8,34.8,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-8.78,30.33,11.3,108.76,3204518.18
23,Blyth's Hawk-Eagle,Least Concern,Nisaetus alboniger,Accipitridae,Accipitriformes,48,24.3,12.9,20.3,77.1,325.2,82,245.2,25.1,239.5,830,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-5.95,11.07,2.4,106.95,800448.35
24,Bornean Bristlehead,Vulnerable,Pityriasis gymnocephala,Pityriasidae,Passeriformes,36.7,21.9,11.4,15.4,29.2,146.5,27.4,122.1,18.3,73.5,128.5,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-4.19,7.16,0.85,114.21,737437.83
25,Bornean Wren-Babbler,Vulnerable,Ptilocichla leucogrammica,Pellorneidae,Passeriformes,22.2,13.6,4.1,5,31.4,79.8,4.7,74.8,5.9,45.4,39.5,NA,Forest,1,1,Carnivore,Invertivore,Generalist,-4.19,7.04,0.56,114.11,604986.63
26,Brahminy Kite,Least Concern,Haliastur indus,Accipitridae,Accipitriformes,48.8,24.4,12.9,17,48.2,399.8,147,257.2,36.4,203.8,529,NA,Coastal,2,1,Carnivore,Omnivore,Generalist,-35.15,34.2,9.01,106.46,8840397.2
27,Bronzed Drongo,Least Concern,Dicrurus aeneus,Dicruridae,Passeriformes,21.6,13.3,7.6,6.1,16,116.9,34.4,82.5,29.4,84.6,26,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,31.13,14.77,98.92,4639369.76
28,Brown Barbet,Least Concern,Caloramphus fuliginosus,Megalaimidae,Piciformes,25.1,17.4,7.8,11.7,20.2,78.2,15.4,62.8,19.7,45.2,42.6,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-4.19,7.09,0.89,114.23,729941.66
29,Brown Fulvetta,Near Threatened,Alcippe brunneicauda,Leiotrichidae,Passeriformes,13.9,8.9,3.6,4.2,21,71.7,10.8,61.6,14.8,61.6,14.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-4.19,9,1.4,112.09,764716.7
30,Buff-necked Woodpecker,Near Threatened,Meiglyptes tukki,Picidae,Piciformes,25.2,19.9,7.2,7.3,21,96.8,15.2,81.6,15.6,57.7,53.1,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,14.25,1.2,108.06,772219.58
31,Buff-rumped Woodpecker,Endangered,Meiglyptes tristis,Picidae,Piciformes,19.9,15.2,6.5,6.5,18,91.1,17.9,73.4,19.6,46.3,31.7,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.82,-5.87,-6.84,107.4,50016.69
32,Bushy-crested Hornbill,Near Threatened,Anorrhinus galeritus,Bucerotidae,Bucerotiformes,134.2,115.1,34.8,54.1,41.5,341,31.9,303.5,9.8,269.6,1172,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,-5.95,11.13,1.15,108.27,1381919.99
33,Chestnut-naped Forktail,Near Threatened,Enicurus ruficapillus,Muscicapidae,Passeriformes,22,14.7,4.2,4.6,26.4,88.8,21.2,66.3,24.1,72,28.2,NA,Forest,2,1,Carnivore,Aquatic predator,Terrestrial,-6.17,12.82,1.16,108.1,1105095.6
34,Chestnut-rumped Babbler,Near Threatened,Stachyris maculata,Timaliidae,Passeriformes,21.5,14.1,3.9,5.7,24.1,85.4,9.4,76.1,11,70.6,29.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.14,9.67,0.65,110.05,586781.16
35,Cinnamon-rumped Trogon,Near Threatened,Harpactes orrhophaeus,Trogonidae,Trogoniformes,17,10.8,7.4,9.1,11.2,108.2,34.9,73.7,32.2,118.5,52.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,9.16,2.19,108.52,470107.45
36,Collared Kingfisher,Least Concern,Todiramphus chloris,Alcedinidae,Coraciiformes,50.5,41.9,14.3,12.7,15.7,107.3,25.4,81.3,23.8,67.3,66.1,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-30.17,25.1,0.66,114.99,3828153.1
37,Common Iora,Least Concern,Aegithina tiphia,Aegithinidae,Passeriformes,17,10.8,4.3,4.5,19.7,61.6,6.2,55.2,10,47.8,12,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.85,32.65,15.54,93.44,6356008.52
38,Cream-vented Bulbul,Least Concern,Pycnonotus simplex,Pycnonotidae,Passeriformes,15.9,10.1,4,4.6,17.5,79.6,10.7,69,13.4,67.5,25.1,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.78,10.96,0.49,108.83,1340820.45
39,Crested Fireback,Vulnerable,Lophura ignita,Phasianidae,Galliformes,38.6,20,11.4,12,97,280,48.1,226.7,17.4,239.4,1768.1,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-3.63,6.53,0.74,114.33,486548.86
40,Crested Goshawk,Least Concern,Accipiter trivirgatus,Accipitridae,Accipitriformes,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-8.85,31.08,13.91,101.71,3366430.69
41,Crested Jay,Near Threatened,Platylophus galericulatus,Platylophidae,Passeriformes,30.3,18.9,8.8,10.6,32.4,136,16.8,119,12.3,113.6,77.9,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,12.82,0.54,108.19,1559387.65
42,Crested Partridge,Vulnerable,Rollulus rouloul,Phasianidae,Galliformes,24.4,10.2,6.3,8.3,40.3,136,30.2,105.1,22.2,59.3,216.5,NA,Forest,1,1,Omnivore,Omnivore,Terrestrial,-5.95,13.38,1.25,108.12,1418641.22
43,Crimson-winged Woodpecker,Least Concern,Picus puniceus,Picidae,Piciformes,28,22.6,7,7.1,19.7,121.2,28.2,91.3,23.6,80,79.1,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.13,13.48,0.99,108.66,1380604.21
44,Crimson Sunbird,Least Concern,Aethopyga siparaja,Nectariniidae,Passeriformes,19,14.3,3.4,2.4,13,50.4,8.7,40.8,17.4,38.1,6.7,NA,Forest,2,1,Herbivore,Nectarivore,Insessorial,-8.78,33.09,14.37,100.15,4911554.19
45,Dark-necked Tailorbird,Least Concern,Orthotomus atrogularis,Cisticolidae,Passeriformes,15.2,10,2.7,2.5,17.3,42.9,4.5,38.4,10.5,35.1,7.7,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,26.37,9.41,104.98,2752593.84
46,Dark-sided Flycatcher,Least Concern,Muscicapa sibirica,Muscicapidae,Passeriformes,11.7,6.4,4.6,3.1,13.1,75.5,24.8,50,33,45.7,13.2,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,20.94,60.98,48.35,116.38,8436138.82
47,Dark-throated Oriole,Near Threatened,Oriolus xanthonotus,Oriolidae,Passeriformes,24.2,17.1,7.3,7.3,20.9,106.8,27,80,25.2,65.4,45,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,-8.47,14.39,0.94,108.75,1161887.17
48,Diard's Trogon,Near Threatened,Harpactes diardii,Trogonidae,Trogoniformes,25.4,14.7,12.3,12.4,16.8,142.4,49.3,90.7,35.3,154.6,98.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.91,10.11,1.25,109.84,1108720.01
49,Dollarbird,Least Concern,Eurystomus orientalis,Coraciidae,Coraciiformes,32,20.1,11.8,13.4,16.8,186.2,68.4,116.8,36.9,98,143,NA,Woodland,2,3,Carnivore,Invertivore,Aerial,-38.83,55.19,14.36,121.24,12922409.59
50,Dusky Broadbill,Least Concern,Corydon sumatranus,Eurylaimidae,Passeriformes,27.4,18.9,20.6,15.7,25.4,131.1,28.1,103.5,21.4,92.1,140,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,20.44,6.66,106.24,2209826.9
51,Dusky Munia,Least Concern,Lonchura fuscans,Estrildidae,Passeriformes,11.4,7.9,6,7.8,13.6,49.5,8.4,40.8,17.1,38,9.5,NA,Grassland,3,1,Herbivore,Granivore,Insessorial,-4.19,7.36,0.88,114.2,737265.04
52,Emerald Dove,Least Concern,Chalcophaps indica,Columbidae,Columbiformes,20.9,11.3,3.1,4.2,25.8,143.9,40,100.1,28.7,83.9,136.5,NA,Forest,1,1,Herbivore,Omnivore,Generalist,-10.58,29.54,11.66,104.11,4704607.55
53,Everett's White-eye,Least Concern,Zosterops everetti,Zosteropidae,Passeriformes,13,8,3.2,3.1,15.4,53.6,10.4,42.1,19.8,38.3,10,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,3.82,12.58,8.65,124.53,122580.16
54,Ferruginous Babbler,,Trichastoma bicolor,Pellorneidae,Passeriformes,19.3,11.6,4.8,4.8,29.6,84.3,9.1,75,10.8,65.2,27.2,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-5.95,10.87,1.4,111.32,785296.58
55,Fiery Minivet,Near Threatened,Pericrocotus igneus,Campephagidae,Passeriformes,14.7,8.2,4.5,3.9,15.8,72.5,19.1,53.8,26.2,64,15,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-6.12,11.98,1.37,108.31,1266299.03
56,Fluffy-backed Tit-Babbler,Near Threatened,Macronus ptilosus,Timaliidae,Passeriformes,18,10.4,4.3,4.4,22.7,70.8,7,65.6,9.6,62.6,18,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.78,12.38,0.79,107.21,444346.1
57,Golden-bellied Gerygone,Least Concern,Gerygone sulphurea,Acanthizidae,Passeriformes,12.8,7.5,3,2.4,16.6,54.4,8.8,41.2,17.5,37.5,5.6,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-10.78,18.65,1.6,111.3,1733224.34
58,Great Argus,Vulnerable,Argusianus argus,Phasianidae,Galliformes,40.8,17.3,8.3,11.1,90.9,384.2,29,355.2,8,715.8,1959.9,NA,Forest,1,1,Herbivore,Frugivore,Terrestrial,-5.95,10.66,1.09,108.39,1354529.31
59,Great Slaty Woodpecker,Vulnerable,Mulleripicus pulverulentus,Picidae,Piciformes,69,47.5,14.6,14.3,38.9,238.6,58.7,180.1,24.5,171.4,450.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.55,32.49,12.72,103.58,2509970.1
60,Greater Coucal,Least Concern,Centropus sinensis,Cuculidae,Cuculiformes,46.6,29.3,9.9,16.3,55.6,212.4,30.9,181.9,14.6,260.9,280.7,NA,Woodland,2,1,Carnivore,Vertivore,Terrestrial,-8.85,33.58,18,93.56,7931391.58
61,Greater Green Leafbird,Endangered,Chloropsis sonnerati,Chloropseidae,Passeriformes,24.7,16.6,5,6.4,21.2,100.6,21.1,79.6,21,71,45.8,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-8.78,13.77,0.88,108.46,1386747.46
62,Greater Racket-tailed Drongo,Least Concern,Dicrurus paradiseus,Dicruridae,Passeriformes,32.5,20.1,10,10.7,24.5,142.9,31.1,111.8,21.8,204.8,85.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.85,30.82,14.98,94.83,5998619.7
63,Green Broadbill,Near Threatened,Calyptomena viridis,Calyptomenidae,Passeriformes,16.6,8.7,6,6,21.4,97.8,16.5,82.1,16.7,51.6,58.5,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.95,16.15,1.69,107.77,1457426.48
64,Green Iora,Near Threatened,Aegithina viridissima,Aegithinidae,Passeriformes,15.9,10.6,4.2,4.4,17.7,61.9,7,54.7,11.4,43.9,13.4,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.17,12.67,1.02,108.24,1109607.12
65,Grey-and-buff Woodpecker,Least Concern,Hemicircus concretus,Picidae,Piciformes,19,17.3,5.4,6.2,15.9,83.9,11.6,72.3,13.8,27.1,29.4,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.45,-5.87,-7.18,109.26,102171.06
66,Grey-headed Babbler,Least Concern,Stachyris poliocephala,Timaliidae,Passeriformes,18.8,11.4,4,5.7,24.4,69,7.4,61,10.8,51,23.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,8.54,1.89,106.49,715193.38
67,Grey-headed Canary-Flycatcher,Least Concern,Culicicapa ceylonensis,Stenostiridae,Passeriformes,11.7,5.9,3.8,2.5,12.2,58.4,11,47.2,18.9,48.4,7.7,NA,Woodland,1,1,Carnivore,Invertivore,Insessorial,-10.32,35.58,17.21,103.12,4653880.02
68,Grey-rumped Treeswift,Least Concern,Hemiprocne longipennis,Hemiprocnidae,Caprimulgiformes,7.1,4,3.4,2.4,12.8,167.6,99.6,67.1,59.7,102,42.8,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-8.96,13.01,0.16,110.81,1465704.57
69,Hairy-backed Bulbul,Least Concern,Tricholestes criniger,Pycnonotidae,Passeriformes,15.7,10.2,4,4,15.4,73.2,11.1,61.8,15.3,63.4,17.1,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-6.08,11.93,0.92,107.73,1220380.84
70,Helmeted Hornbill,Critically Endangered,Rhinoplax vigil,Bucerotidae,Bucerotiformes,203.8,193.5,53,110.9,65.8,468,27,450.5,5.7,419.8,2887.6,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,-5.66,12.04,1.29,108.67,1216391.66
71,Hill Myna,Least Concern,Gracula religiosa,Sturnidae,Passeriformes,33,21,10,12.9,37.8,169.3,43.9,125.5,26,79.8,192,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.85,29.93,12.45,101.59,3864550.11
72,Hooded Pitta,Least Concern,Pitta sordida,Pittidae,Passeriformes,25.6,15.1,6,8.4,38.5,104.8,18.9,86.7,18.1,35.7,64.5,NA,Forest,1,3,Carnivore,Invertivore,Terrestrial,-7.52,32.3,11.98,103.84,2977202.55
73,Indian Cuckoo,Least Concern,Cuculus micropterus,Cuculidae,Cuculiformes,30.3,19.4,8.4,9.3,19.5,196.3,87.9,107,45.1,146.1,88.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,52.34,25.25,107.12,10050685.23
74,Jerdon's Baza,Least Concern,Aviceda jerdoni,Accipitridae,Accipitriformes,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,NA,Forest,2,1,Carnivore,Omnivore,Insessorial,-5.95,28.63,6.17,107.44,1592906.95
75,Large Frogmouth,Near Threatened,Batrachostomus auritus,Podargidae,Caprimulgiformes,35.5,27.4,42.8,20,21.9,260.5,58.7,201.9,22.5,194.8,206,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.16,8.71,1,113.66,565685.32
76,Lesser Coucal,Least Concern,Centropus bengalensis,Cuculidae,Cuculiformes,28.2,15.7,6.6,11,39.3,154.6,29.6,129.6,18.6,185.2,148.9,NA,Grassland,2,1,Carnivore,Invertivore,Terrestrial,-10.94,33.04,14.75,105.79,6030216.39
77,Lesser Green Leafbird,Near Threatened,Chloropsis cyanopogon,Chloropseidae,Passeriformes,18.7,12.8,4.2,5,18.9,81.9,14.9,68.1,17.8,63,22,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-5.95,9.85,1.18,108.43,1210976.46
78,Little Spiderhunter,Least Concern,Arachnothera longirostra,Nectariniidae,Passeriformes,41.8,34.3,4,3.8,17.5,66.9,9.5,57.6,14.1,42,12.5,NA,Forest,1,1,Omnivore,Nectarivore,Insessorial,-8.85,28.4,11.25,102.5,3514761.53
79,Long-billed Spiderhunter,Least Concern,Arachnothera robusta,Nectariniidae,Passeriformes,58.2,48.7,6.1,5.9,17.4,84.2,17.4,65.6,20.9,52.2,29.3,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,-8.78,9.41,0.97,106.35,630859.75
80,Long-tailed Shrike,Least Concern,Lanius schach,Laniidae,Passeriformes,21.8,13.2,6.8,9.2,29.2,92.4,18.6,73.2,20.3,123.3,51.5,NA,Shrubland,2,2,Carnivore,Invertivore,Insessorial,-10.25,44.41,23.44,92.75,11170512.1
81,Malaysian Honeyguide,Near Threatened,Indicator archipelagicus,Indicatoridae,Piciformes,13.8,7.4,4,5.5,13.1,88.8,18.8,70,21.1,58.2,32.4,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.17,9.52,1.12,108.26,1098002.15
82,Maroon Woodpecker,Least Concern,Blythipicus rubiginosus,Picidae,Piciformes,32.8,26,7.5,8,21.2,119.4,16.4,102.9,13.7,63.6,81.9,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.98,12.63,1.13,108.43,1344203.74
83,Moustached Babbler,Least Concern,Malacopteron magnirostre,Pellorneidae,Passeriformes,17.1,9.8,4.2,4.8,20.2,76.6,9.7,65.8,12.9,63.4,19.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,12.01,1.08,108.57,1312918
84,Narcissus Flycatcher,Least Concern,Ficedula narcissina,Muscicapidae,Passeriformes,14,7.6,4.1,3.5,16.2,75.2,22.6,52.9,29.9,47.4,13.1,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,30.99,50.01,40.79,138.04,544878.05
85,Olive-winged Bulbul,Least Concern,Pycnonotus plumosus,Pycnonotidae,Passeriformes,17.4,10.8,4.7,5.2,20.4,83.1,9.3,74.2,11.1,71.6,34.9,NA,Shrubland,2,1,Herbivore,Frugivore,Insessorial,-8.85,14.03,0.58,107.94,1506344.75
86,Orange-bellied Flowerpecker,Least Concern,Dicaeum trigonostigma,Dicaeidae,Passeriformes,12.1,8.3,3.4,3.1,13.2,49.5,8.3,41.1,16.8,23,7.1,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,-8.85,24.79,5.86,107.29,2286467.14
87,Orange-breasted Trogon,Least Concern,Harpactes oreskios,Trogonidae,Trogoniformes,17.7,11.7,7.6,8.3,12.6,122.4,47.9,74.3,39.2,136.6,57.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.4,26.08,14.68,103.12,1639985.91
88,Oriental Dwarf Kingfisher,Least Concern,Ceyx erithaca,Alcedinidae,Coraciiformes,36.1,29.5,7.1,7.8,8.3,58.2,8,50.6,13.7,24.8,17.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.32,27.49,8.98,102.67,3196823.57
89,Pied Fantail,Least Concern,Rhipidura javanica,Rhipiduridae,Passeriformes,14,9.7,4.5,3.7,16.1,68,10,58,14.7,67.3,12.5,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-8.96,19.11,4.3,107.57,1594085.24
90,Plain Sunbird,Least Concern,Anthreptes simplex,Nectariniidae,Passeriformes,16,11.8,3.4,3.1,14.9,59.9,9.7,50.2,16.1,44.8,8.9,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-5.95,13.34,1.43,108.8,1062052.92
91,Plaintive Cuckoo,Least Concern,Cacomantis merulinus,Cuculidae,Cuculiformes,20.8,12.8,5.3,5.6,15.5,104.2,34,70.7,32.5,103.7,25.3,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-8.85,29.56,13.43,105.48,5031778.72
92,Raffles's Malkoha,Least Concern,Rhinortha chlorophaea,Cuculidae,Cuculiformes,30.5,21.4,8.8,9.8,27.3,118,11.7,106.8,9.9,159.8,51.2,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-5.95,14.07,1.36,108.05,1422260.56
93,Red-bearded Bee-eater,Least Concern,Nyctyornis amictus,Meropidae,Coraciiformes,47,36.6,9.8,11.4,12.3,119.1,21.6,101.3,17.6,120,71.9,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,17.66,1.98,107.61,1492016.66
