,purpose,scale,level,timing,sn
6203,NA,NA,NA,NA,Cranioleuca demissa
6204,NA,NA,NA,NA,Cranioleuca semicinerea
6205,NA,NA,NA,NA,Cranioleuca hellmayri
6206,NA,NA,NA,NA,Cranioleuca subcristata
6207,NA,NA,NA,NA,Pseudasthenes humicola
6208,NA,NA,NA,NA,Pseudasthenes patagonica
6209,NA,NA,NA,NA,Pseudasthenes steinbachi
6210,NA,NA,NA,NA,Pseudasthenes cactorum
6211,NA,NA,NA,NA,Spartonoica maluroides
6212,NA,NA,NA,NA,Pseudoseisura unirufa
6213,NA,NA,NA,NA,Pseudoseisura cristata
6214,NA,NA,NA,NA,Pseudoseisura lophotes
6215,NA,NA,NA,NA,Pseudoseisura gutturalis
6216,NA,NA,NA,NA,Mazaria propinqua
6217,NA,NA,NA,NA,Schoeniophylax phryganophilus
6218,NA,NA,NA,NA,Certhiaxis cinnamomeus
6219,NA,NA,NA,NA,Certhiaxis mustelinus
6220,NA,NA,NA,NA,Synallaxis scutata
6221,NA,NA,NA,NA,Synallaxis cinerascens
6222,NA,NA,NA,NA,Synallaxis gujanensis
6223,NA,NA,NA,NA,Synallaxis maranonica
6224,NA,NA,NA,NA,Synallaxis simoni
6225,NA,NA,NA,NA,Synallaxis albilora
6226,NA,NA,NA,NA,Synallaxis kollari
6227,NA,NA,NA,NA,Synallaxis candei
6228,NA,NA,NA,NA,Synallaxis erythrothorax
6229,NA,NA,NA,NA,Synallaxis tithys
6230,NA,NA,NA,NA,Synallaxis unirufa
6231,NA,NA,NA,NA,Synallaxis castanea
6232,NA,NA,NA,NA,Synallaxis fuscorufa
6233,NA,NA,NA,NA,Synallaxis cinnamomea
6234,NA,NA,NA,NA,Synallaxis rutilans
6235,NA,NA,NA,NA,Synallaxis cherriei
6236,NA,NA,NA,NA,Synallaxis hypochondriaca
6237,NA,NA,NA,NA,Synallaxis zimmeri
6238,NA,NA,NA,NA,Synallaxis stictothorax
6239,NA,NA,NA,NA,Synallaxis chinchipensis
6240,NA,NA,NA,NA,Synallaxis brachyura
6241,NA,NA,NA,NA,Synallaxis subpudica
6242,NA,NA,NA,NA,Synallaxis hellmayri
6243,NA,NA,NA,NA,Synallaxis ruficapilla
6244,NA,NA,NA,NA,Synallaxis cinerea
6245,NA,NA,NA,NA,Synallaxis infuscata
6246,NA,NA,NA,NA,Synallaxis moesta
6247,NA,NA,NA,NA,Synallaxis cabanisi
6248,NA,NA,NA,NA,Synallaxis macconnelli
6249,NA,NA,NA,NA,Synallaxis hypospodia
6250,NA,NA,NA,NA,Synallaxis spixi
6251,NA,NA,NA,NA,Synallaxis albigularis
6252,NA,NA,NA,NA,Synallaxis beverlyae
6253,NA,NA,NA,NA,Synallaxis albescens
6254,NA,NA,NA,NA,Synallaxis frontalis
6255,NA,NA,NA,NA,Synallaxis azarae
6256,NA,NA,NA,NA,Synallaxis courseni
6257,NA,NA,NA,NA,Neopelma pallescens
6258,NA,NA,NA,NA,Neopelma chrysocephalum
6259,NA,NA,NA,NA,Neopelma aurifrons
6260,NA,NA,NA,NA,Neopelma chrysolophum
6261,NA,NA,NA,NA,Neopelma sulphureiventer
6262,NA,NA,NA,NA,Tyranneutes stolzmanni
6263,NA,NA,NA,NA,Tyranneutes virescens
6264,NA,NA,NA,NA,Xenopipo uniformis
6265,NA,NA,NA,NA,Xenopipo atronitens
6266,NA,NA,NA,NA,Heterocercus aurantiivertex
6267,NA,NA,NA,NA,Heterocercus flavivertex
6268,NA,NA,NA,NA,Heterocercus linteatus
6269,NA,NA,NA,NA,Manacus candei
6270,NA,NA,NA,NA,Manacus aurantiacus
6271,NA,NA,NA,NA,Manacus vitellinus
6272,NA,NA,NA,NA,Manacus manacus
6273,NA,NA,NA,NA,Pipra filicauda
6274,NA,NA,NA,NA,Pipra aureola
6275,NA,NA,NA,NA,Pipra fasciicauda
6276,NA,NA,NA,NA,Machaeropterus deliciosus
6277,NA,NA,NA,NA,Machaeropterus striolatus
6278,NA,NA,NA,NA,Machaeropterus regulus
6279,NA,NA,NA,NA,Machaeropterus pyrocephalus
6280,NA,NA,NA,NA,Machaeropterus eckelberryi
6281,NA,NA,NA,NA,Pseudopipra pipra
6282,NA,NA,NA,NA,Ceratopipra cornuta
6283,NA,NA,NA,NA,Ceratopipra mentalis
6284,NA,NA,NA,NA,Ceratopipra erythrocephala
6285,NA,NA,NA,NA,Ceratopipra rubrocapilla
6286,NA,NA,NA,NA,Ceratopipra chloromeros
6287,NA,NA,NA,NA,Cryptopipo litae
6288,NA,NA,NA,NA,Cryptopipo holochlora
6289,NA,NA,NA,NA,Chloropipo flavicapilla
6290,NA,NA,NA,NA,Chloropipo unicolor
6291,NA,NA,NA,NA,Lepidothrix suavissima
6292,NA,NA,NA,NA,Lepidothrix serena
6293,NA,NA,NA,NA,Lepidothrix coronata
6294,NA,NA,NA,NA,Lepidothrix nattereri
6295,NA,NA,NA,NA,Lepidothrix vilasboasi
6296,NA,NA,NA,NA,Lepidothrix iris
6297,NA,NA,NA,NA,Lepidothrix isidorei
6298,NA,NA,NA,NA,Lepidothrix coeruleocapilla
6299,NA,NA,NA,NA,Ilicura militaris
6300,NA,NA,NA,NA,Masius chrysopterus
6301,NA,NA,NA,NA,Corapipo leucorrhoa
6302,NA,NA,NA,NA,Corapipo gutturalis
6303,NA,NA,NA,NA,Antilophia bokermanni
6304,"Pets/display animals, horticulture",international,non-trivial,recent,Antilophia galeata
6305,NA,NA,NA,NA,Chiroxiphia linearis
6306,"Pets/display animals, horticulture",international,non-trivial,recent,Chiroxiphia lanceolata
6307,"Pets/display animals, horticulture",international,non-trivial,recent,Chiroxiphia pareola
6308,NA,NA,NA,NA,Chiroxiphia boliviana
6309,NA,NA,NA,NA,Chiroxiphia caudata
6310,NA,NA,NA,NA,Ampelioides tschudii
6311,NA,NA,NA,NA,Pipreola chlorolepidota
6312,NA,NA,NA,NA,Pipreola squamipectus
6313,NA,NA,NA,NA,Pipreola frontalis
6314,NA,NA,NA,NA,Pipreola formosa
6315,NA,NA,NA,NA,Pipreola whitelyi
6316,NA,NA,NA,NA,Pipreola lubomirskii
6317,"Pets/display animals, horticulture",international,non-trivial,recent,Pipreola jucunda
6318,NA,NA,NA,NA,Pipreola pulchra
6319,"Pets/display animals, horticulture",international,non-trivial,recent,Pipreola aureopectus
6320,NA,NA,NA,NA,Pipreola arcuata
6321,NA,NA,NA,NA,Pipreola intermedia
6322,NA,NA,NA,NA,Pipreola riefferii
6323,NA,NA,NA,NA,Snowornis subalaris
6324,NA,NA,NA,NA,Snowornis cryptolophus
6325,NA,NA,NA,NA,Carpornis cucullata
6326,NA,NA,NA,NA,Carpornis melanocephala
6327,"Pets/display animals, horticulture",international,non-trivial,recent,Rupicola peruvianus
6328,NA,NA,NA,NA,Rupicola rupicola
6329,NA,NA,NA,NA,Phoenicircus carnifex
6330,NA,NA,NA,NA,Phoenicircus nigricollis
6331,NA,NA,NA,NA,Zaratornis stresemanni
6332,NA,NA,NA,NA,Phytotoma rara
6333,NA,NA,NA,NA,Phytotoma raimondii
6334,NA,NA,NA,NA,Phytotoma rutila
6335,Food - human,NA,non-trivial,recent,Phibalura flavirostris
6336,NA,NA,NA,NA,Phibalura boliviana
6337,NA,NA,NA,NA,Doliornis sclateri
6338,NA,NA,NA,NA,Doliornis remseni
6339,NA,NA,NA,NA,Ampelion rubrocristatus
6340,NA,NA,NA,NA,Ampelion rufaxilla
6341,"Pets/display animals, horticulture",international,non-trivial,recent,Haematoderus militaris
6342,"Pets/display animals, horticulture",international,non-trivial,recent,Querula purpurata
6343,NA,NA,NA,NA,Pyroderus scutatus
6344,"Pets/display animals, horticulture",international,non-trivial,recent,Cephalopterus glabricollis
6345,Food - human,NA,non-trivial,recent,Cephalopterus penduliger
6346,"Pets/display animals, horticulture",NA,non-trivial,recent,Cephalopterus penduliger
6347,NA,NA,NA,NA,Cephalopterus ornatus
6348,NA,NA,NA,NA,Perissocephalus tricolor
6349,NA,NA,NA,NA,Lipaugus unirufus
6350,Food - human,NA,non-trivial,recent,Lipaugus ater
6351,NA,NA,NA,NA,Lipaugus conditus
6352,NA,NA,NA,NA,Lipaugus lanioides
6353,NA,NA,NA,NA,Lipaugus streptophorus
6354,NA,NA,NA,NA,Lipaugus vociferans
6355,NA,NA,NA,NA,Lipaugus weberi
6356,NA,NA,NA,NA,Lipaugus fuscocinereus
6357,NA,NA,NA,NA,Lipaugus uropygialis
6358,NA,NA,NA,NA,Procnias albus
6359,NA,NA,NA,NA,Procnias tricarunculatus
6360,"Pets/display animals, horticulture",international,non-trivial,recent,Procnias nudicollis
6361,NA,NA,NA,NA,Procnias averano
6362,NA,NA,NA,NA,Cotinga maynana
6363,"Pets/display animals, horticulture",international,non-trivial,recent,Cotinga cayana
6364,NA,NA,NA,NA,Cotinga amabilis
