,purpose,scale,level,timing,sn
2858,Food - human,,non-trivial,recent,Phalacrocorax fuscicollis
2859,"Pets/display animals, horticulture",international,non-trivial,recent,Phalacrocorax fuscicollis
2860,NA,NA,NA,NA,Phalacrocorax sulcirostris
2861,Food - human,,non-trivial,recent,Phalacrocorax fuscescens
2862,"Pets/display animals, horticulture",international,non-trivial,recent,Phalacrocorax fuscescens
2863,NA,NA,NA,NA,Phalacrocorax varius
2864,Food - human,,non-trivial,recent,Phalacrocorax punctatus
2865,"Pets/display animals, horticulture",international,non-trivial,recent,Phalacrocorax punctatus
2866,"Pets/display animals, horticulture",international,non-trivial,recent,Phalacrocorax featherstoni
2867,NA,NA,NA,NA,Anhinga anhinga
2868,"Pets/display animals, horticulture",international,non-trivial,recent,Anhinga rufa
2869,NA,NA,NA,NA,Anhinga melanogaster
2870,NA,NA,NA,NA,Anhinga novaehollandiae
2871,Food - human,,non-trivial,recent,Burhinus oedicnemus
2872,Food - human,,non-trivial,recent,Burhinus oedicnemus
2873,"Pets/display animals, horticulture",international,non-trivial,recent,Burhinus oedicnemus
2874,"Pets/display animals, horticulture",international,non-trivial,recent,Burhinus oedicnemus
2875,Sport hunting/specimen collecting,,non-trivial,recent,Burhinus oedicnemus
2876,Sport hunting/specimen collecting,,non-trivial,recent,Burhinus oedicnemus
2877,Food - human,,non-trivial,recent,Burhinus indicus
2878,"Pets/display animals, horticulture",international,non-trivial,recent,Burhinus indicus
2879,Sport hunting/specimen collecting,,non-trivial,recent,Burhinus indicus
2880,NA,NA,NA,NA,Burhinus senegalensis
2881,NA,NA,NA,NA,Burhinus vermiculatus
2882,NA,NA,NA,NA,Burhinus capensis
2883,Food - human,,non-trivial,recent,Burhinus bistriatus
2884,"Pets/display animals, horticulture",international,non-trivial,recent,Burhinus bistriatus
2885,NA,NA,NA,NA,Burhinus superciliaris
2886,NA,NA,NA,NA,Burhinus grallarius
2887,NA,NA,NA,NA,Esacus recurvirostris
2888,NA,NA,NA,NA,Esacus magnirostris
2889,NA,NA,NA,NA,Chionis albus
2890,NA,NA,NA,NA,Chionis minor
2891,NA,NA,NA,NA,Pluvianellus socialis
2892,NA,NA,NA,NA,Pluvianus aegyptius
2893,NA,NA,NA,NA,Haematopus leucopodus
2894,"Pets/display animals, horticulture",international,non-trivial,recent,Haematopus ater
2895,NA,NA,NA,NA,Haematopus palliatus
2896,NA,NA,NA,NA,Haematopus moquini
2897,"Pets/display animals, horticulture",international,non-trivial,recent,Haematopus ostralegus
2898,Sport hunting/specimen collecting,,non-trivial,recent,Haematopus ostralegus
2899,NA,NA,NA,NA,Haematopus finschi
2900,NA,NA,NA,NA,Haematopus longirostris
2901,NA,NA,NA,NA,Haematopus chathamensis
2902,NA,NA,NA,NA,Haematopus unicolor
2903,NA,NA,NA,NA,Haematopus fuliginosus
2904,NA,NA,NA,NA,Ibidorhyncha struthersii
2905,NA,NA,NA,NA,Cladorhynchus leucocephalus
2906,Food - human,,non-trivial,recent,Recurvirostra avosetta
2907,"Pets/display animals, horticulture",international,non-trivial,recent,Recurvirostra avosetta
2908,Sport hunting/specimen collecting,,non-trivial,recent,Recurvirostra avosetta
2909,NA,NA,NA,NA,Recurvirostra americana
2910,NA,NA,NA,NA,Recurvirostra novaehollandiae
2911,NA,NA,NA,NA,Recurvirostra andina
2912,Food - human,,non-trivial,recent,Himantopus himantopus
2913,"Pets/display animals, horticulture",international,non-trivial,recent,Himantopus himantopus
2914,Sport hunting/specimen collecting,,non-trivial,recent,Himantopus himantopus
2915,NA,NA,NA,NA,Himantopus novaezelandiae
2916,Food - human,,non-trivial,recent,Pluvialis squatarola
2917,"Pets/display animals, horticulture",international,non-trivial,recent,Pluvialis squatarola
2918,Sport hunting/specimen collecting,,non-trivial,recent,Pluvialis squatarola
2919,NA,NA,NA,NA,Pluvialis apricaria
2920,Food - human,,non-trivial,recent,Pluvialis fulva
2921,"Pets/display animals, horticulture",international,non-trivial,recent,Pluvialis fulva
2922,NA,NA,NA,NA,Pluvialis dominica
2923,NA,NA,NA,NA,Oreopholus ruficollis
2924,NA,NA,NA,NA,Phegornis mitchellii
2925,Food - human,,non-trivial,recent,Eudromias morinellus
2926,"Pets/display animals, horticulture",international,non-trivial,recent,Eudromias morinellus
2927,Sport hunting/specimen collecting,,non-trivial,recent,Eudromias morinellus
2928,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius aquilonius
2929,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius obscurus
2930,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius hiaticula
2931,Sport hunting/specimen collecting,,non-trivial,recent,Charadrius hiaticula
2932,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius semipalmatus
2933,NA,NA,NA,NA,Charadrius placidus
2934,Food - human,,non-trivial,recent,Charadrius dubius
2935,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius dubius
2936,Sport hunting/specimen collecting,,non-trivial,recent,Charadrius dubius
2937,NA,NA,NA,NA,Charadrius wilsonia
2938,NA,NA,NA,NA,Charadrius vociferus
2939,Food - human,,non-trivial,recent,Charadrius melodus
2940,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius melodus
2941,Sport hunting/specimen collecting,,non-trivial,recent,Charadrius melodus
2942,Food - human,NA,non-trivial,recent,Charadrius thoracicus
2943,Sport hunting/specimen collecting,NA,non-trivial,recent,Charadrius thoracicus
2944,NA,NA,NA,NA,Charadrius pecuarius
2945,Sport hunting/specimen collecting,NA,non-trivial,recent,Charadrius sanctaehelenae
2946,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius tricollaris
2947,"Pets/display animals, horticulture",NA,non-trivial,recent,Charadrius bifrontatus
2948,NA,NA,NA,NA,Charadrius forbesi
2949,NA,NA,NA,NA,Charadrius marginatus
2950,Food - human,,non-trivial,recent,Charadrius alexandrinus
2951,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius alexandrinus
2952,Sport hunting/specimen collecting,,non-trivial,recent,Charadrius alexandrinus
2953,Food - human,,non-trivial,recent,Charadrius dealbatus
2954,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius dealbatus
2955,Sport hunting/specimen collecting,,non-trivial,recent,Charadrius dealbatus
2956,Food - human,,non-trivial,recent,Charadrius nivosus
2957,"Pets/display animals, horticulture",international,non-trivial,recent,Charadrius nivosus
2958,Sport hunting/specimen collecting,,non-trivial,recent,Charadrius nivosus
2959,NA,NA,NA,NA,Charadrius javanicus
2960,NA,NA,NA,NA,Charadrius ruficapillus
2961,NA,NA,NA,NA,Charadrius peronii
2962,"Pets/display animals, horticulture",NA,non-trivial,recent,Charadrius pallidus
2963,NA,NA,NA,NA,Charadrius collaris
2964,NA,NA,NA,NA,Charadrius alticola
2965,NA,NA,NA,NA,Charadrius falklandicus
2966,NA,NA,NA,NA,Charadrius bicinctus
2967,Food - human,NA,non-trivial,recent,Charadrius mongolus
2968,Food - human,NA,non-trivial,recent,Charadrius atrifrons
2969,Food - human,NA,non-trivial,recent,Charadrius leschenaultii
2970,NA,NA,NA,NA,Charadrius asiaticus
2971,NA,NA,NA,NA,Charadrius veredus
2972,Food - human,NA,non-trivial,recent,Charadrius montanus
2973,NA,NA,NA,NA,Charadrius modestus
2974,"Pets/display animals, horticulture",international,non-trivial,recent,Thinornis cucullatus
2975,NA,NA,NA,NA,Thinornis novaeseelandiae
2976,NA,NA,NA,NA,Elseyornis melanops
2977,NA,NA,NA,NA,Hoploxypterus cayanus
2978,Food - human,,non-trivial,recent,Vanellus vanellus
2979,"Pets/display animals, horticulture",international,non-trivial,recent,Vanellus vanellus
2980,Sport hunting/specimen collecting,,non-trivial,recent,Vanellus vanellus
2981,NA,NA,NA,NA,Vanellus crassirostris
2982,NA,NA,NA,NA,Vanellus armatus
2983,Food - human,,non-trivial,recent,Vanellus spinosus
2984,"Pets/display animals, horticulture",international,non-trivial,recent,Vanellus spinosus
2985,NA,NA,NA,NA,Vanellus duvaucelii
2986,NA,NA,NA,NA,Vanellus tectus
2987,Food - human,,non-trivial,recent,Vanellus malabaricus
2988,Medicine - human & veterinary,,non-trivial,recent,Vanellus malabaricus
2989,"Pets/display animals, horticulture",international,non-trivial,recent,Vanellus malabaricus
2990,"Pets/display animals, horticulture",international,non-trivial,recent,Vanellus albiceps
2991,NA,NA,NA,NA,Vanellus lugubris
2992,NA,NA,NA,NA,Vanellus melanopterus
2993,NA,NA,NA,NA,Vanellus coronatus
2994,NA,NA,NA,NA,Vanellus senegallus
2995,NA,NA,NA,NA,Vanellus melanocephalus
2996,NA,NA,NA,NA,Vanellus superciliosus
2997,NA,NA,NA,NA,Vanellus cinereus
2998,Food - human,NA,non-trivial,recent,Vanellus indicus
2999,"Pets/display animals, horticulture",NA,non-trivial,recent,Vanellus indicus
3000,Food - human,NA,non-trivial,recent,Vanellus macropterus
3001,NA,NA,NA,NA,Vanellus tricolor
3002,"Pets/display animals, horticulture",international,non-trivial,recent,Vanellus miles
3003,"Pets/display animals, horticulture",NA,non-trivial,recent,Vanellus novaehollandiae
3004,NA,NA,NA,NA,Vanellus gregarius
3005,Food - human,NA,non-trivial,recent,Vanellus leucurus
3006,"Pets/display animals, horticulture",international,non-trivial,recent,Vanellus chilensis
3007,NA,NA,NA,NA,Vanellus resplendens
3008,NA,NA,NA,NA,Erythrogonys cinctus
3009,NA,NA,NA,NA,Peltohyas australis
3010,NA,NA,NA,NA,Anarhynchus frontalis
3011,Food - human,NA,non-trivial,recent,Pedionomus torquatus
3012,NA,NA,NA,NA,Attagis gayi
3013,NA,NA,NA,NA,Attagis malouinus
3014,NA,NA,NA,NA,Thinocorus orbignyianus
3015,NA,NA,NA,NA,Thinocorus rumicivorus
3016,NA,NA,NA,NA,Rostratula benghalensis
3017,NA,NA,NA,NA,Rostratula australis
3018,NA,NA,NA,NA,Nycticryphes semicollaris
3019,"Pets/display animals, horticulture",international,non-trivial,recent,Jacana spinosa
3020,"Pets/display animals, horticulture",NA,non-trivial,recent,Jacana jacana
3021,NA,NA,NA,NA,Hydrophasianus chirurgus
3022,NA,NA,NA,NA,Actophilornis africanus
3023,NA,NA,NA,NA,Actophilornis albinucha
3024,NA,NA,NA,NA,Metopidius indicus
3025,NA,NA,NA,NA,Irediparra gallinacea
3026,NA,NA,NA,NA,Microparra capensis
3027,Food - human,,non-trivial,recent,Bartramia longicauda
3028,"Pets/display animals, horticulture",international,non-trivial,recent,Bartramia longicauda
3029,Sport hunting/specimen collecting,,non-trivial,recent,Bartramia longicauda
3030,Food - human,NA,non-trivial,recent,Numenius tahitiensis
3031,NA,NA,NA,NA,Numenius phaeopus
3032,NA,NA,NA,NA,Numenius minutus
3033,Food - human,NA,non-trivial,recent,Numenius tenuirostris
3034,Food - human,NA,non-trivial,recent,Numenius tenuirostris
3035,Sport hunting/specimen collecting,NA,non-trivial,recent,Numenius tenuirostris
3036,Sport hunting/specimen collecting,NA,non-trivial,recent,Numenius tenuirostris
3037,NA,NA,NA,NA,Numenius americanus
3038,Food - human,,non-trivial,recent,Numenius arquata
3039,"Pets/display animals, horticulture",international,non-trivial,recent,Numenius arquata
3040,Sport hunting/specimen collecting,,non-trivial,recent,Numenius arquata
3041,Food - human,NA,non-trivial,recent,Numenius madagascariensis
3042,Food - human,NA,non-trivial,recent,Limosa lapponica
3043,Sport hunting/specimen collecting,NA,non-trivial,recent,Limosa lapponica
3044,NA,NA,NA,NA,Limosa fedoa
3045,NA,NA,NA,NA,Limosa haemastica
3046,Food - human,,non-trivial,recent,Limosa limosa
3047,"Pets/display animals, horticulture",international,non-trivial,recent,Limosa limosa
3048,Sport hunting/specimen collecting,,non-trivial,recent,Limosa limosa
3049,Food - human,,non-trivial,recent,Arenaria interpres
3050,"Pets/display animals, horticulture",international,non-trivial,recent,Arenaria interpres
3051,Sport hunting/specimen collecting,,non-trivial,recent,Arenaria interpres
3052,NA,NA,NA,NA,Arenaria melanocephala
3053,NA,NA,NA,NA,Calidris tenuirostris
3054,Food - human,NA,non-trivial,recent,Calidris canutus
3055,Sport hunting/specimen collecting,NA,non-trivial,recent,Calidris canutus
3056,NA,NA,NA,NA,Calidris virgata
3057,Food - human,,non-trivial,recent,Calidris pugnax
3058,"Pets/display animals, horticulture",international,non-trivial,recent,Calidris pugnax
3059,Sport hunting/specimen collecting,,non-trivial,recent,Calidris pugnax
3060,"Pets/display animals, horticulture",international,non-trivial,recent,Calidris falcinellus
3061,Food - human,NA,non-trivial,recent,Calidris acuminata
3062,NA,NA,NA,NA,Calidris himantopus
3063,Food - human,NA,non-trivial,recent,Calidris ferruginea
3064,Sport hunting/specimen collecting,NA,non-trivial,recent,Calidris ferruginea
3065,Food - human,NA,non-trivial,recent,Calidris temminckii
3066,Sport hunting/specimen collecting,NA,non-trivial,recent,Calidris temminckii
3067,NA,NA,NA,NA,Calidris subminuta
3068,Food - human,NA,non-trivial,recent,Calidris pygmaea
3069,Food - human,NA,non-trivial,recent,Calidris ruficollis
3070,NA,NA,NA,NA,Calidris alba
3071,"Pets/display animals, horticulture",international,non-trivial,recent,Calidris alpina
3072,Sport hunting/specimen collecting,,non-trivial,recent,Calidris alpina
3073,NA,NA,NA,NA,Calidris ptilocnemis
3074,NA,NA,NA,NA,Calidris maritima
3075,"Pets/display animals, horticulture",international,non-trivial,recent,Calidris bairdii
3076,Food - human,NA,non-trivial,recent,Calidris minuta
3077,Sport hunting/specimen collecting,NA,non-trivial,recent,Calidris minuta
3078,"Pets/display animals, horticulture",international,non-trivial,recent,Calidris minutilla
3079,NA,NA,NA,NA,Calidris fuscicollis
3080,Food - human,NA,non-trivial,recent,Calidris subruficollis
3081,Sport hunting/specimen collecting,NA,non-trivial,recent,Calidris subruficollis
3082,NA,NA,NA,NA,Calidris melanotos
3083,NA,NA,NA,NA,Calidris pusilla
3084,NA,NA,NA,NA,Calidris mauri
3085,NA,NA,NA,NA,Prosobonia parvirostris
3086,NA,NA,NA,NA,Limnodromus semipalmatus
3087,NA,NA,NA,NA,Limnodromus griseus
3088,NA,NA,NA,NA,Limnodromus scolopaceus
3089,Food - human,NA,non-trivial,recent,Scolopax rusticola
3090,Sport hunting/specimen collecting,NA,non-trivial,recent,Scolopax rusticola
3091,NA,NA,NA,NA,Scolopax mira
3092,NA,NA,NA,NA,Scolopax saturata
3093,NA,NA,NA,NA,Scolopax rosenbergii
3094,NA,NA,NA,NA,Scolopax bukidnonensis
3095,NA,NA,NA,NA,Scolopax celebensis
3096,NA,NA,NA,NA,Scolopax rochussenii
3097,Food - human,,non-trivial,recent,Scolopax minor
3098,"Pets/display animals, horticulture",international,non-trivial,recent,Scolopax minor
3099,Sport hunting/specimen collecting,,non-trivial,recent,Scolopax minor
3100,NA,NA,NA,NA,Coenocorypha pusilla
3101,NA,NA,NA,NA,Coenocorypha iredalei
3102,NA,NA,NA,NA,Coenocorypha huegeli
3103,NA,NA,NA,NA,Coenocorypha aucklandica
3104,NA,NA,NA,NA,Gallinago imperialis
3105,NA,NA,NA,NA,Gallinago jamesoni
3106,NA,NA,NA,NA,Gallinago stricklandii
3107,NA,NA,NA,NA,Gallinago solitaria
3108,Food - human,NA,non-trivial,recent,Gallinago hardwickii
3109,Sport hunting/specimen collecting,NA,non-trivial,recent,Gallinago hardwickii
3110,Food - human,NA,non-trivial,recent,Gallinago nemoricola
3111,Food - human,NA,non-trivial,recent,Gallinago stenura
3112,Sport hunting/specimen collecting,NA,non-trivial,recent,Gallinago stenura
3113,NA,NA,NA,NA,Gallinago megala
3114,NA,NA,NA,NA,Gallinago nigripennis
3115,Food - human,NA,non-trivial,recent,Gallinago macrodactyla
3116,Food - human,NA,non-trivial,recent,Gallinago media
3117,Sport hunting/specimen collecting,NA,non-trivial,recent,Gallinago media
3118,NA,NA,NA,NA,Gallinago gallinago
3119,NA,NA,NA,NA,Gallinago delicata
3120,NA,NA,NA,NA,Gallinago paraguaiae
3121,Food - human,NA,non-trivial,recent,Gallinago magellanica
3122,NA,NA,NA,NA,Gallinago andina
3123,NA,NA,NA,NA,Gallinago nobilis
3124,NA,NA,NA,NA,Gallinago undulata
3125,Food - human,NA,non-trivial,recent,Lymnocryptes minimus
3126,Sport hunting/specimen collecting,NA,non-trivial,recent,Lymnocryptes minimus
3127,NA,NA,NA,NA,Steganopus tricolor
3128,Food - human,,non-trivial,recent,Phalaropus lobatus
3129,"Pets/display animals, horticulture",international,non-trivial,recent,Phalaropus lobatus
3130,"Pets/display animals, horticulture",international,non-trivial,recent,Phalaropus fulicarius
3131,"Pets/display animals, horticulture",international,non-trivial,recent,Phalaropus fulicarius
3132,Food - human,NA,non-trivial,recent,Xenus cinereus
3133,NA,NA,NA,NA,Actitis hypoleucos
3134,NA,NA,NA,NA,Actitis macularius
3135,NA,NA,NA,NA,Tringa ochropus
3136,"Pets/display animals, horticulture",NA,non-trivial,recent,Tringa solitaria
3137,Food - human,NA,non-trivial,recent,Tringa brevipes
3138,NA,NA,NA,NA,Tringa incana
3139,NA,NA,NA,NA,Tringa semipalmata
3140,"Pets/display animals, horticulture",international,non-trivial,recent,Tringa flavipes
3141,Food - human,,non-trivial,recent,Tringa erythropus
3142,"Pets/display animals, horticulture",international,non-trivial,recent,Tringa erythropus
3143,Sport hunting/specimen collecting,,non-trivial,recent,Tringa erythropus
3144,Food - human,,non-trivial,recent,Tringa nebularia
3145,"Pets/display animals, horticulture",international,non-trivial,recent,Tringa nebularia
3146,Sport hunting/specimen collecting,,non-trivial,recent,Tringa nebularia
3147,NA,NA,NA,NA,Tringa melanoleuca
3148,NA,NA,NA,NA,Tringa totanus
3149,Food - human,,non-trivial,recent,Tringa glareola
3150,"Pets/display animals, horticulture",international,non-trivial,recent,Tringa glareola
3151,Sport hunting/specimen collecting,,non-trivial,recent,Tringa glareola
3152,NA,NA,NA,NA,Tringa stagnatilis
3153,NA,NA,NA,NA,Tringa guttifer
3154,Food - human,,non-trivial,recent,Turnix sylvaticus
3155,"Pets/display animals, horticulture",international,non-trivial,recent,Turnix sylvaticus
3156,NA,NA,NA,NA,Turnix maculosus
3157,NA,NA,NA,NA,Turnix tanki
3158,NA,NA,NA,NA,Turnix nanus
3159,NA,NA,NA,NA,Turnix hottentottus
3160,NA,NA,NA,NA,Turnix ocellatus
3161,NA,NA,NA,NA,Turnix suscitator
3162,NA,NA,NA,NA,Turnix nigricollis
3163,NA,NA,NA,NA,Turnix melanogaster
3164,Food - human,,non-trivial,recent,Turnix varius
3165,"Pets/display animals, horticulture",international,non-trivial,recent,Turnix varius
3166,NA,NA,NA,NA,Turnix olivii
3167,NA,NA,NA,NA,Turnix castanotus
3168,NA,NA,NA,NA,Turnix pyrrhothorax
3169,Food - human,NA,non-trivial,recent,Turnix everetti
3170,Food - human,NA,non-trivial,recent,Turnix worcesteri
3171,NA,NA,NA,NA,Turnix velox
3172,NA,NA,NA,NA,Ortyxelos meiffrenii
3173,NA,NA,NA,NA,Dromas ardeola
3174,NA,NA,NA,NA,Smutsornis africanus
3175,NA,NA,NA,NA,Rhinoptilus cinctus
3176,NA,NA,NA,NA,Rhinoptilus chalcopterus
3177,NA,NA,NA,NA,Rhinoptilus bitorquatus
3178,NA,NA,NA,NA,Cursorius cursor
3179,NA,NA,NA,NA,Cursorius somalensis
3180,NA,NA,NA,NA,Cursorius rufus
3181,NA,NA,NA,NA,Cursorius temminckii
3182,NA,NA,NA,NA,Cursorius coromandelicus
3183,NA,NA,NA,NA,Stiltia isabella
3184,Food - human,,non-trivial,recent,Glareola pratincola
3185,"Pets/display animals, horticulture",international,non-trivial,recent,Glareola pratincola
3186,Food - human,,non-trivial,recent,Glareola maldivarum
3187,"Pets/display animals, horticulture",international,non-trivial,recent,Glareola maldivarum
3188,NA,NA,NA,NA,Glareola nordmanni
3189,NA,NA,NA,NA,Glareola ocularis
3190,NA,NA,NA,NA,Glareola nuchalis
3191,NA,NA,NA,NA,Glareola cinerea
3192,NA,NA,NA,NA,Glareola lactea
3193,NA,NA,NA,NA,Anous stolidus
3194,NA,NA,NA,NA,Anous tenuirostris
3195,NA,NA,NA,NA,Anous minutus
3196,NA,NA,NA,NA,Anous ceruleus
3197,NA,NA,NA,NA,Anous albivittus
3198,NA,NA,NA,NA,Gygis alba
3199,NA,NA,NA,NA,Gygis candida
3200,NA,NA,NA,NA,Gygis microrhyncha
3201,NA,NA,NA,NA,Rynchops niger
3202,Food - human,NA,non-trivial,recent,Rynchops flavirostris
3203,Food - human,NA,non-trivial,recent,Rynchops albicollis
3204,Food - human,NA,non-trivial,recent,Saundersilarus saundersi
3205,"Pets/display animals, horticulture",NA,non-trivial,recent,Saundersilarus saundersi
3206,Sport hunting/specimen collecting,NA,non-trivial,recent,Hydrocoloeus minutus
3207,Food - human,NA,non-trivial,recent,Rhodostethia rosea
3208,NA,NA,NA,NA,Creagrus furcatus
3209,NA,NA,NA,NA,Xema sabini
3210,NA,NA,NA,NA,Pagophila eburnea
3211,Food - human,NA,non-trivial,recent,Rissa brevirostris
3212,Food - human,,non-trivial,recent,Rissa tridactyla
3213,"Pets/display animals, horticulture",international,non-trivial,recent,Rissa tridactyla
3214,"Pets/display animals, horticulture",international,non-trivial,recent,Larus philadelphia
3215,Sport hunting/specimen collecting,NA,non-trivial,recent,Larus genei
3216,Food - human,NA,non-trivial,recent,Larus brunnicephalus
3217,Food - human,,non-trivial,recent,Larus ridibundus
3218,"Pets/display animals, horticulture",international,non-trivial,recent,Larus ridibundus
3219,Sport hunting/specimen collecting,,non-trivial,recent,Larus ridibundus
3220,NA,NA,NA,NA,Larus serranus
3221,NA,NA,NA,NA,Larus maculipennis
3222,NA,NA,NA,NA,Larus hartlaubii
3223,Food - human,,non-trivial,recent,Larus cirrocephalus
3224,Medicine - human & veterinary,,non-trivial,recent,Larus cirrocephalus
3225,"Pets/display animals, horticulture",international,non-trivial,recent,Larus cirrocephalus
3226,"Pets/display animals, horticulture",international,non-trivial,recent,Larus novaehollandiae
3227,"Pets/display animals, horticulture",international,non-trivial,recent,Larus novaehollandiae
3228,NA,NA,NA,NA,Larus bulleri
3229,Food - human,,non-trivial,recent,Larus modestus
3230,"Pets/display animals, horticulture",international,non-trivial,recent,Larus modestus
3231,NA,NA,NA,NA,Larus scoresbii
3232,"Pets/display animals, horticulture",international,non-trivial,recent,Larus pipixcan
3233,"Pets/display animals, horticulture",international,non-trivial,recent,Larus atricilla
3234,NA,NA,NA,NA,Larus fuliginosus
3235,"Pets/display animals, horticulture",international,non-trivial,recent,Larus ichthyaetus
3236,Food - human,NA,non-trivial,recent,Larus relictus
3237,Food - human,NA,non-trivial,recent,Larus melanocephalus
3238,Sport hunting/specimen collecting,NA,non-trivial,recent,Larus melanocephalus
3239,Food - human,NA,non-trivial,recent,Larus hemprichii
3240,Food - human,,non-trivial,recent,Larus leucophthalmus
3241,Food - human,,non-trivial,recent,Larus leucophthalmus
3242,"Pets/display animals, horticulture",international,non-trivial,recent,Larus leucophthalmus
3243,"Pets/display animals, horticulture",international,non-trivial,recent,Larus leucophthalmus
3244,Food - human,,non-trivial,recent,Larus audouinii
3245,"Pets/display animals, horticulture",international,non-trivial,recent,Larus audouinii
3246,Sport hunting/specimen collecting,,non-trivial,recent,Larus audouinii
3247,"Pets/display animals, horticulture",international,non-trivial,recent,Larus heermanni
3248,NA,NA,NA,NA,Larus pacificus
3249,Food - human,,non-trivial,recent,Larus crassirostris
3250,Food - human,,non-trivial,recent,Larus crassirostris
3251,"Pets/display animals, horticulture",international,non-trivial,recent,Larus crassirostris
3252,"Pets/display animals, horticulture",international,non-trivial,recent,Larus crassirostris
3253,NA,NA,NA,NA,Larus belcheri
3254,Food - human,NA,non-trivial,recent,Larus atlanticus
3255,"Pets/display animals, horticulture",international,non-trivial,recent,Larus delawarensis
3256,Food - human,,non-trivial,recent,Larus canus
3257,"Pets/display animals, horticulture",international,non-trivial,recent,Larus canus
3258,Sport hunting/specimen collecting,,non-trivial,recent,Larus canus
3259,NA,NA,NA,NA,Larus livens
3260,"Pets/display animals, horticulture",international,non-trivial,recent,Larus occidentalis
3261,Food - human,,non-trivial,recent,Larus californicus
3262,"Pets/display animals, horticulture",international,non-trivial,recent,Larus californicus
3263,"Pets/display animals, horticulture",international,non-trivial,recent,Larus dominicanus
3264,Sport hunting/specimen collecting,,non-trivial,recent,Larus dominicanus
3265,"Pets/display animals, horticulture",international,non-trivial,recent,Larus fuscus
3266,Sport hunting/specimen collecting,,non-trivial,recent,Larus fuscus
3267,Food - human,,non-trivial,recent,Larus argentatus
3268,"Pets/display animals, horticulture",international,non-trivial,recent,Larus argentatus
3269,Sport hunting/specimen collecting,,non-trivial,recent,Larus argentatus
3270,Food - human,NA,non-trivial,recent,Larus armenicus
3271,NA,NA,NA,NA,Larus michahellis
3272,NA,NA,NA,NA,Larus cachinnans
3273,Food - human,,non-trivial,recent,Larus smithsonianus
3274,"Pets/display animals, horticulture",international,non-trivial,recent,Larus smithsonianus
3275,Sport hunting/specimen collecting,,non-trivial,recent,Larus smithsonianus
3276,Food - human,NA,non-trivial,recent,Larus glaucoides
3277,"Pets/display animals, horticulture",international,non-trivial,recent,Larus schistisagus
3278,NA,NA,NA,NA,Larus glaucescens
3279,NA,NA,NA,NA,Larus hyperboreus
3280,"Pets/display animals, horticulture",international,non-trivial,recent,Larus marinus
3281,Sport hunting/specimen collecting,,non-trivial,recent,Larus marinus
3282,NA,NA,NA,NA,Onychoprion aleuticus
3283,Food - human,,non-trivial,recent,Onychoprion fuscatus
3284,"Pets/display animals, horticulture",international,non-trivial,recent,Onychoprion fuscatus
3285,"Pets/display animals, horticulture",international,non-trivial,recent,Onychoprion anaethetus
3286,NA,NA,NA,NA,Onychoprion lunatus
3287,Sport hunting/specimen collecting,NA,non-trivial,recent,Sternula albifrons
3288,NA,NA,NA,NA,Sternula saundersi
3289,NA,NA,NA,NA,Sternula antillarum
3290,NA,NA,NA,NA,Sternula superciliaris
3291,NA,NA,NA,NA,Sternula lorata
3292,NA,NA,NA,NA,Sternula nereis
3293,NA,NA,NA,NA,Sternula balaenarum
3294,NA,NA,NA,NA,Phaetusa simplex
3295,NA,NA,NA,NA,Gelochelidon nilotica
3296,NA,NA,NA,NA,Gelochelidon macrotarsa
3297,"Pets/display animals, horticulture",international,non-trivial,recent,Hydroprogne caspia
3298,Sport hunting/specimen collecting,,non-trivial,recent,Hydroprogne caspia
3299,"Pets/display animals, horticulture",international,non-trivial,recent,Larosterna inca
3300,NA,NA,NA,NA,Chlidonias albostriatus
3301,Food - human,,non-trivial,recent,Chlidonias hybrida
3302,"Pets/display animals, horticulture",international,non-trivial,recent,Chlidonias hybrida
3303,Sport hunting/specimen collecting,,non-trivial,recent,Chlidonias hybrida
3304,Food - human,,non-trivial,recent,Chlidonias leucopterus
3305,"Pets/display animals, horticulture",international,non-trivial,recent,Chlidonias leucopterus
3306,Sport hunting/specimen collecting,,non-trivial,recent,Chlidonias leucopterus
3307,Sport hunting/specimen collecting,NA,non-trivial,recent,Chlidonias niger
3308,NA,NA,NA,NA,Sterna aurantia
3309,Food - human,,non-trivial,recent,Sterna dougallii
3310,"Pets/display animals, horticulture",international,non-trivial,recent,Sterna dougallii
3311,Sport hunting/specimen collecting,,non-trivial,recent,Sterna dougallii
3312,NA,NA,NA,NA,Sterna striata
3313,NA,NA,NA,NA,Sterna sumatrana
3314,NA,NA,NA,NA,Sterna hirundinacea
3315,Food - human,,non-trivial,recent,Sterna hirundo
3316,"Pets/display animals, horticulture",international,non-trivial,recent,Sterna hirundo
3317,Food - human,NA,non-trivial,recent,Sterna repressa
3318,"Pets/display animals, horticulture",international,non-trivial,recent,Sterna paradisaea
3319,NA,NA,NA,NA,Sterna vittata
3320,NA,NA,NA,NA,Sterna virgata
