"","scientificName","code","title","timing","scope","severity","score","invasive"
"129","Tringa erythropus","7.2.8","Abstraction of ground water (unknown use)","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"130","Tringa erythropus","7.3","Other ecosystem modifications","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"131","Tringa nebularia","6.3","Work & other activities","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"132","Tringa nebularia","7.3","Other ecosystem modifications","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"133","Tringa nebularia","9.1","Domestic & urban waste water","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"134","Tringa nebularia","9.1.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"135","Tringa totanus",NA,NA,NA,NA,NA,NA,NA
"136","Tringa glareola","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA
"137","Tringa glareola","11.5","Other impacts","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"138","Tringa glareola","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"139","Tringa glareola","2.1.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"140","Tringa glareola","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"141","Tringa glareola","2.2.3","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"142","Tringa glareola","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"143","Tringa glareola","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"144","Tringa glareola","8.1","Invasive non-native/alien species/diseases (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum"
"145","Tringa glareola","8.1","Invasive non-native/alien species/diseases (Plasmodium relictum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Plasmodium relictum"
"146","Tringa glareola","8.1.2","Named species (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum"
"147","Tringa glareola","8.1.2","Named species (Plasmodium relictum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Plasmodium relictum"
"148","Tringa stagnatilis","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"149","Tringa stagnatilis","2.1.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"150","Tringa stagnatilis","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"151","Tringa stagnatilis","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"152","Tringa stagnatilis","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"153","Tringa stagnatilis","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"154","Tringa stagnatilis","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"155","Tringa stagnatilis","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"156","Tringa stagnatilis","7.2.11","Dams (size unknown)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"157","Tringa stagnatilis","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"158","Tringa stagnatilis","7.2.8","Abstraction of ground water (unknown use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"159","Tringa stagnatilis","7.3","Other ecosystem modifications","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"160","Tringa stagnatilis","8.1","Invasive non-native/alien species/diseases (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum"
"161","Tringa stagnatilis","8.1.2","Named species (Clostridium botulinum)","Future","Minority (<50%)","Rapid Declines","Low Impact: 4","Clostridium botulinum"
"162","Tringa stagnatilis","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"163","Tringa stagnatilis","9.2.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"164","Chlidonias leucopterus",NA,NA,NA,NA,NA,NA,NA
"165","Glaucidium passerinum",NA,NA,NA,NA,NA,NA,NA
"166","Strix aluco",NA,NA,NA,NA,NA,NA,NA
"167","Picus canus",NA,NA,NA,NA,NA,NA,NA
"168","Picus viridis",NA,NA,NA,NA,NA,NA,NA
"169","Dryocopus martius",NA,NA,NA,NA,NA,NA,NA
"170","Picoides tridactylus",NA,NA,NA,NA,NA,NA,NA
"171","Dendrocopos syriacus",NA,NA,NA,NA,NA,NA,NA
"172","Dendrocopos major",NA,NA,NA,NA,NA,NA,NA
"173","Lanius minor","11.3","Temperature extremes","Unknown","Unknown","Unknown",NA,NA
"174","Perisoreus infaustus",NA,NA,NA,NA,NA,NA,NA
"175","Nucifraga caryocatactes",NA,NA,NA,NA,NA,NA,NA
"176","Pyrrhocorax pyrrhocorax",NA,NA,NA,NA,NA,NA,NA
"177","Pyrrhocorax graculus",NA,NA,NA,NA,NA,NA,NA
"178","Bombycilla garrulus",NA,NA,NA,NA,NA,NA,NA
"179","Poecile cinctus",NA,NA,NA,NA,NA,NA,NA
"180","Lophophanes cristatus",NA,NA,NA,NA,NA,NA,NA
"181","Parus major","11.5","Other impacts","Ongoing","Unknown","Unknown",NA,NA
"182","Cyanistes cyanus",NA,NA,NA,NA,NA,NA,NA
"183","Aegithalos caudatus",NA,NA,NA,NA,NA,NA,NA
"184","Melanocorypha calandra",NA,NA,NA,NA,NA,NA,NA
"185","Locustella luscinioides",NA,NA,NA,NA,NA,NA,NA
"186","Acrocephalus schoenobaenus",NA,NA,NA,NA,NA,NA,NA
"187","Hippolais languida",NA,NA,NA,NA,NA,NA,NA
"188","Hippolais olivetorum",NA,NA,NA,NA,NA,NA,NA
"189","Phylloscopus trochilus",NA,NA,NA,NA,NA,NA,NA
"190","Phylloscopus canariensis",NA,NA,NA,NA,NA,NA,NA
"191","Phylloscopus bonelli","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"192","Phylloscopus bonelli","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"193","Phylloscopus sibilatrix",NA,NA,NA,NA,NA,NA,NA
"194","Phylloscopus borealis","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"195","Sylvia atricapilla",NA,NA,NA,NA,NA,NA,NA
"196","Curruca nisoria",NA,NA,NA,NA,NA,NA,NA
"197","Curruca mystacea",NA,NA,NA,NA,NA,NA,NA
"198","Curruca sarda",NA,NA,NA,NA,NA,NA,NA
"199","Panurus biarmicus",NA,NA,NA,NA,NA,NA,NA
"200","Regulus ignicapilla",NA,NA,NA,NA,NA,NA,NA
"201","Regulus madeirensis",NA,NA,NA,NA,NA,NA,NA
"202","Sitta tephronota",NA,NA,NA,NA,NA,NA,NA
"203","Certhia brachydactyla",NA,NA,NA,NA,NA,NA,NA
"204","Pastor roseus",NA,NA,NA,NA,NA,NA,NA
"205","Sturnus unicolor",NA,NA,NA,NA,NA,NA,NA
"206","Turdus merula","11.3","Temperature extremes","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"207","Turdus merula","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"208","Turdus merula","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"209","Turdus merula","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"210","Turdus merula","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"211","Turdus merula","6.3","Work & other activities","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"212","Turdus merula","8.2","Problematic native species/diseases","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"213","Turdus merula","8.2.1","Unspecified species","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"214","Turdus pilaris",NA,NA,NA,NA,NA,NA,NA
"215","Turdus viscivorus",NA,NA,NA,NA,NA,NA,NA
"216","Luscinia luscinia",NA,NA,NA,NA,NA,NA,NA
"217","Calliope calliope",NA,NA,NA,NA,NA,NA,NA
"218","Tarsiger cyanurus",NA,NA,NA,NA,NA,NA,NA
"219","Irania gutturalis",NA,NA,NA,NA,NA,NA,NA
"220","Saxicola rubetra",NA,NA,NA,NA,NA,NA,NA
"221","Oenanthe pleschanka",NA,NA,NA,NA,NA,NA,NA
"222","Oenanthe isabellina",NA,NA,NA,NA,NA,NA,NA
"223","Monticola solitarius",NA,NA,NA,NA,NA,NA,NA
"224","Petronia petronia",NA,NA,NA,NA,NA,NA,NA
"225","Montifringilla henrici",NA,NA,NA,NA,NA,NA,NA
"226","Prunella collaris",NA,NA,NA,NA,NA,NA,NA
"227","Prunella atrogularis",NA,NA,NA,NA,NA,NA,NA
"228","Anthus berthelotii",NA,NA,NA,NA,NA,NA,NA
"229","Anthus hodgsoni",NA,NA,NA,NA,NA,NA,NA
"230","Fringilla montifringilla",NA,NA,NA,NA,NA,NA,NA
"231","Serinus pusillus",NA,NA,NA,NA,NA,NA,NA
"232","Rhodopechys sanguineus",NA,NA,NA,NA,NA,NA,NA
"233","Rhodospiza obsoleta",NA,NA,NA,NA,NA,NA,NA
"234","Carpodacus rubicilla",NA,NA,NA,NA,NA,NA,NA
"235","Loxia pytyopsittacus",NA,NA,NA,NA,NA,NA,NA
"236","Loxia scotica","2.2","Wood & pulp plantations","Ongoing","Majority (50-90%)","Unknown",NA,NA
"237","Loxia scotica","2.2.2","Agro-industry plantations","Ongoing","Majority (50-90%)","Unknown",NA,NA
"238","Emberiza citrinella",NA,NA,NA,NA,NA,NA,NA
"239","Emberiza melanocephala",NA,NA,NA,NA,NA,NA,NA
